"PC","ExplainedVariance","CumulativeVariance"
"PC237",0.101622581970799,42.9739010557251
"PC238",0.101451867264085,43.0753529229892
"PC239",0.101369498104829,43.176722421094
"PC240",0.101159999448803,43.2778824205428
"PC241",0.101045227247861,43.3789276477907
"PC242",0.100843515390721,43.4797711631814
"PC243",0.10071683747266,43.5804880006541
"PC244",0.100706913434416,43.6811949140885
"PC245",0.10053056452115,43.7817254786096
"PC246",0.100428516860301,43.8821539954699
"PC247",0.100303639424834,43.9824576348948
"PC248",0.100244161430284,44.0827017963251
"PC249",0.100127717131778,44.1828295134568
"PC250",0.100002378647803,44.2828318921046
"PC251",0.0998782970062151,44.3827101891109
"PC252",0.0997964077916916,44.4825065969025
"PC253",0.0996431239073485,44.5821497208099
"PC254",0.0995524324648011,44.6817021532747
"PC255",0.0993671852619753,44.7810693385367
"PC256",0.0991874393233777,44.88025677786
"PC257",0.0990352626599916,44.97929204052
"PC258",0.09900178693829,45.0782938274583
"PC259",0.0987687507739245,45.1770625782323
"PC260",0.0986564084355888,45.2757189866678
"PC261",0.0986002960644021,45.3743192827322
"PC262",0.0984936542810592,45.4728129370133
"PC263",0.098371633602247,45.5711845706156
"PC264",0.0983257709961892,45.6695103416117
"PC265",0.0981869315179078,45.7676972731296
"PC266",0.097927804027317,45.865625077157
"PC267",0.0978478045076561,45.9634728816646
"PC268",0.0977840205655682,46.0612569022302
"PC269",0.0977051804181537,46.1589620826483
"PC270",0.0975691559071551,46.2565312385555
"PC271",0.0974699712605864,46.3540012098161
"PC272",0.0974235373478734,46.451424747164
"PC273",0.0973327346590758,46.548757481823
"PC274",0.0972180131774844,46.6459754950005
"PC275",0.0971361753901655,46.7431116703907
"PC276",0.0970379440578148,46.8401496144485
"PC277",0.0969535206981743,46.9371031351467
"PC278",0.0968263925373163,47.033929527684
"PC279",0.0966731038413539,47.1306026315253
"PC280",0.0966477437379857,47.2272503752633
"PC281",0.0966024930536725,47.323852868317
"PC282",0.0965282581128562,47.4203811264299
"PC283",0.0964284240592059,47.5168095504891
"PC284",0.0962220500449312,47.613031600534
"PC285",0.0961403423070029,47.709171942841
"PC286",0.0960995651293209,47.8052715079703
"PC287",0.0959139609187796,47.9011854688891
"PC288",0.09588080464125,47.9970662735303
"PC289",0.0956839733276676,48.092750246858
"PC290",0.095535925011163,48.1882861718692
"PC291",0.0954652995267817,48.283751471396
"PC292",0.0953575330006118,48.3791090043966
"PC293",0.0952711646572733,48.4743801690538
"PC294",0.0951217829032092,48.5695019519571
"PC295",0.0950758521798719,48.6645778041369
"PC296",0.0950369037624056,48.7596147078993
"PC297",0.0948968565317308,48.8545115644311
"PC298",0.0947979885561969,48.9493095529873
"PC299",0.0947048537614902,49.0440144067487
"PC300",0.0946704821089196,49.1386848888577
"PC301",0.094553340851399,49.2332382297091
"PC302",0.0945102762688339,49.3277485059779
"PC303",0.094308544703265,49.4220570506812
"PC304",0.0942984229961297,49.5163554736773
"PC305",0.0941300453567923,49.6104855190341
"PC306",0.0940687523892212,49.7045542714233
"PC307",0.0939312227345602,49.7984854941579
"PC308",0.0938700086084953,49.8923555027664
"PC309",0.0937929681970567,49.9861484709634
"PC310",0.0937317486026905,50.0798802195661
"PC311",0.0936669792680588,50.1735471988342
"PC312",0.0935796812013354,50.2671268800355
